Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
nmlrs,353,50,7,0.0000,1000,481,0.9
nmlrs,353,50,8,0.0000,1000,537,0.9
nmlrs,353,50,9,0.0000,1000,579,0.9
nmlrs,353,50,10,0.0000,1000,522,0.9
nmlrs,2500,50,1,0.0085,1000,3085,0.1
nmlrs,2500,50,2,0.0000,1000,3154,0.1
nmlrs,2500,50,3,0.0000,1000,3302,0.1
nmlrs,2500,50,4,0.0030,1000,3384,0.1
nmlrs,2500,50,5,0.0000,1000,2959,0.1
nmlrs,2500,50,6,0.0000,1000,3030,0.1
nmlrs,2500,50,7,0.0041,1000,3221,0.1
nmlrs,2500,50,8,0.0005,1000,3272,0.1
nmlrs,2500,50,9,0.0000,1000,3211,0.1
nmlrs,2500,50,10,0.0000,1000,3202,0.1
nmlrs,2500,50,1,0.0034,1000,3109,0.2
nmlrs,2500,50,2,0.0025,1000,3334,0.2
nmlrs,2500,50,3,0.0040,1000,3217,0.2
nmlrs,2500,50,4,0.0000,1000,3372,0.2
nmlrs,2500,50,5,0.0101,1000,3062,0.2
nmlrs,2500,50,6,0.0040,1000,3037,0.2
nmlrs,2500,50,7,0.0048,1000,3270,0.2
nmlrs,2500,50,8,0.0025,1000,3222,0.2
nmlrs,2500,50,9,0.0099,1000,2930,0.2
nmlrs,2500,50,10,0.0028,1000,2932,0.2
nmlrs,2500,50,1,0.0010,1000,3634,0.3
nmlrs,2500,50,2,0.0000,1000,3209,0.3
nmlrs,2500,50,3,0.0059,1000,3213,0.3
nmlrs,2500,50,4,0.0788,1000,2769,0.3
nmlrs,2500,50,5,0.0060,1000,3096,0.3
nmlrs,2500,50,6,0.0022,1000,3172,0.3
nmlrs,2500,50,7,0.0089,1000,2914,0.3
nmlrs,2500,50,8,0.0015,1000,3188,0.3
nmlrs,2500,50,9,0.0062,1000,2982,0.3
nmlrs,2500,50,10,0.0078,1000,3156,0.3
nmlrs,2500,50,1,0.0062,1000,3003,0.4
nmlrs,2500,50,2,0.0052,1000,2997,0.4
nmlrs,2500,50,3,0.0087,1000,3050,0.4
nmlrs,2500,50,4,0.0041,1000,3091,0.4
nmlrs,2500,50,5,0.0055,1000,3054,0.4
nmlrs,2500,50,6,0.0062,1000,3139,0.4
nmlrs,2500,50,7,0.0059,1000,3132,0.4
nmlrs,2500,50,8,0.0047,1000,3235,0.4
nmlrs,2500,50,9,0.0073,1000,3032,0.4
nmlrs,2500,50,10,0.0042,1000,3195,0.4
nmlrs,2500,50,1,0.0110,1000,2858,0.5
nmlrs,2500,50,2,0.0098,1000,3169,0.5
nmlrs,2500,50,3,0.0094,1000,2838,0.5
nmlrs,2500,50,4,0.0032,1000,3202,0.5
nmlrs,2500,50,5,0.0043,1000,2992,0.5
nmlrs,2500,50,6,0.0063,1000,2998,0.5
nmlrs,2500,50,7,0.0084,1000,2935,0.5
nmlrs,2500,50,8,0.0083,1000,2927,0.5
nmlrs,2500,50,9,0.0200,1000,2868,0.5
nmlrs,2500,50,10,0.0047,1000,3000,0.5
nmlrs,2500,50,1,0.0099,1000,2968,0.6
nmlrs,2500,50,2,0.0121,1000,2910,0.6
nmlrs,2500,50,3,0.0098,1000,2859,0.6
nmlrs,2500,50,4,0.0090,1000,2979,0.6
nmlrs,2500,50,5,0.0048,1000,3124,0.6
nmlrs,2500,50,6,0.0037,1000,3225,0.6
nmlrs,2500,50,7,0.0032,1000,2939,0.6
nmlrs,2500,50,8,0.0075,1000,3044,0.6
nmlrs,2500,50,9,0.0115,1000,2954,0.6
nmlrs,2500,50,10,0.0074,1000,3216,0.6
nmlrs,2500,50,1,0.0185,1000,2890,0.7
nmlrs,2500,50,2,0.0106,1000,2958,0.7
nmlrs,2500,50,3,0.0026,1000,3031,0.7
nmlrs,2500,50,4,0.0026,1000,3143,0.7
nmlrs,2500,50,5,0.0048,1000,3002,0.7
nmlrs,2500,50,6,0.0105,1000,2900,0.7
nmlrs,2500,50,7,0.0054,1000,3110,0.7
nmlrs,2500,50,8,0.0059,1000,3099,0.7
nmlrs,2500,50,9,0.0068,1000,3045,0.7
